model_name,doi,overall_precision,overall_recall,overall_f1,num_target_items,num_extracted_items,num_matched_items,num_target_materials,num_extracted_materials,num_matched_materials,avg_process_edit_distance,input_tokens,output_tokens,cost_usd,elapsed_seconds,avg_paper_time,max_paper_time,avg_attempts,num_hallucinated,num_total_numbers,hallucination_rate,value_precision,value_recall,value_f1,measurement_precision,measurement_recall,measurement_f1,config_precision,config_recall,config_f1,process_precision,process_recall,process_f1,material_precision,material_recall,material_f1
claude_code,doi_10_1016__j_proeng_2012_03_043,0.7748,0.7369,0.7550,12,16,10.33,4,4,4,0.0000,349276,10709,0.674849,,,,2.00,0,35,0.0000,0.8497,0.7738,0.8100,0.6458,0.8611,0.7381,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude_code,doi_10_1038__ncomms10602,0.8083,0.7990,0.8036,19,19,17.00,1,1,1,0.0000,352528,64722,2.556577,,,,1.00,0,41,0.0000,0.9167,0.8980,0.9072,0.8947,0.8947,0.8947,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude_code,doi_10_1038__s41467_019_08460_2,0.9296,0.6094,0.7135,18,11,8.00,5,5,5,0.8000,300883,21250,1.473370,,,,1.00,0,39,0.0000,0.8592,0.5083,0.6387,0.7273,0.4444,0.5517,1.0000,0.2667,0.4211,1.0000,0.8261,0.9048,1.0000,1.0000,1.0000
claude_code,doi_10_1038__s41467_019_10533_1,0.9051,0.8277,0.8610,18,16,16.00,7,7,7,2.0000,258207,11770,0.699120,,,,1.00,0,51,0.0000,0.9103,0.8554,0.8820,1.0000,0.8889,0.9412,1.0000,0.6667,0.8000,0.7500,0.7500,0.7500,1.0000,1.0000,1.0000
claude_code,doi_10_1038__s41598_017_16509_9,0.7040,0.5734,0.6222,16,19,9.42,3,3,3,4.0000,305728,36220,1.532130,,,,1.00,0,40,0.0000,0.5914,0.5556,0.5729,0.4956,0.5885,0.5381,0.5000,0.3333,0.4000,0.9167,0.4783,0.6286,1.0000,1.0000,1.0000
claude_code,doi_10_1038__s41598_019_43329_w,0.7527,0.7452,0.7309,44,44,33.50,5,5,5,0.0000,349422,35035,1.690654,,,,1.00,0,153,0.0000,0.6555,0.7517,0.7003,0.7614,0.7614,0.7614,0.5000,0.1290,0.2051,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude_code,doi_10_1155__2019__2157592,0.9778,0.9860,0.9818,18,17,16.75,12,12,12,0.0000,313884,21385,0.917010,,,,1.00,0,87,0.0000,0.9555,0.9720,0.9637,0.9853,0.9306,0.9571,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude_code,doi_10_3390__coatings9010016,0.6910,0.5262,0.5908,43,17,11.00,3,2,2,1.0000,797172,24245,1.462893,,,,2.00,0,63,0.0000,0.5570,0.4400,0.4916,0.6471,0.2558,0.3667,0.7500,0.3750,0.5000,0.7500,0.7500,0.7500,1.0000,0.6667,0.8000
claude_code,doi_10_3390__e16020870,0.9652,0.9482,0.9565,47,47,45.20,6,6,6,0.0000,301222,13375,0.723688,,,,1.00,0,138,0.0000,0.9304,0.8963,0.9131,0.9617,0.9617,0.9617,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude_code,doi_10_3390__e18050189,0.9700,0.9569,0.9634,10,10,8.90,1,1,1,0.0000,319304,12091,0.713233,,,,1.00,0,29,0.0000,0.9400,0.9139,0.9268,0.8900,0.8900,0.8900,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude_code,doi_10_3390__e21010015,0.9322,0.9625,0.9460,68,80,64.50,6,6,6,0.0000,418552,21115,1.105723,,,,1.00,0,226,0.0000,0.8644,0.9523,0.9063,0.8063,0.9485,0.8716,1.0000,0.9091,0.9524,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude_code,doi_10_3390__e21020114,0.7525,0.6856,0.7149,98,96,53.70,7,7,7,0.0000,646105,82525,3.139670,,,,1.00,0,193,0.0000,0.5051,0.4569,0.4798,0.5594,0.5480,0.5536,1.0000,0.7143,0.8333,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude_code,doi_10_3390__e21020122,0.6579,0.7323,0.6922,31,29,26.00,8,8,8,1.0000,355693,19444,0.873596,,,,1.00,0,85,0.0000,0.7757,0.8646,0.8177,0.8966,0.8387,0.8667,0.0000,0.0000,0.0000,0.6000,0.7500,0.6667,1.0000,1.0000,1.0000
