model_name,doi,overall_precision,overall_recall,overall_f1,num_target_items,num_extracted_items,num_matched_items,num_target_materials,num_extracted_materials,num_matched_materials,avg_process_edit_distance,input_tokens,cache_read_tokens,cache_write_tokens,output_tokens,cost_usd,elapsed_seconds,avg_paper_time,max_paper_time,avg_attempts,num_hallucinated,num_total_numbers,hallucination_rate,value_precision,value_recall,value_f1,measurement_precision,measurement_recall,measurement_f1,config_precision,config_recall,config_f1,process_precision,process_recall,process_f1,material_precision,material_recall,material_f1
claude-haiku-4-5,doi_10_1016__j_proeng_2012_03_043,0.5690,0.6589,0.6063,12,28,7.60,4,4,4,0.0000,11982,0,0,1596,0.019962,,,,1.00,0,55,0.0000,0.4380,0.6179,0.5126,0.2714,0.6333,0.3800,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1038__ncomms10602,0.5768,0.7990,0.6514,19,39,17.00,1,1,1,0.0000,102258,0,0,14109,0.172803,,,,4.00,0,75,0.0000,0.4536,0.8980,0.6027,0.4359,0.8947,0.5862,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1038__s41467_019_08460_2,0.4960,0.4695,0.4706,18,33,4.25,5,3,3,3.0000,18951,0,0,3081,0.034356,,,,1.00,0,48,0.0000,0.2976,0.3005,0.2990,0.1288,0.2361,0.1667,0.5000,0.4000,0.4444,0.6111,0.8462,0.7097,1.0000,0.6000,0.7500
claude-haiku-4-5,doi_10_1038__s41467_019_10533_1,0.8139,0.7717,0.7861,18,24,18.00,7,7,7,1.0000,69898,0,0,6025,0.100023,,,,3.00,0,71,0.0000,0.7778,0.8434,0.8092,0.7500,1.0000,0.8571,0.5000,0.3333,0.4000,1.0000,0.7500,0.8571,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1038__s41598_017_16509_9,0.6733,0.7368,0.7020,16,24,7.90,3,3,3,1.0000,54036,0,0,6655,0.087311,,,,3.00,0,42,0.0000,0.5988,0.7258,0.6562,0.3292,0.4938,0.3950,0.3333,0.3333,0.3333,0.8696,0.8696,0.8696,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1038__s41598_019_43329_w,0.3565,0.4214,0.3790,44,75,29.50,5,5,5,1.0000,26613,0,0,6200,0.057613,,,,1.00,0,185,0.0000,0.1463,0.2762,0.1913,0.3933,0.6705,0.4958,0.0000,0.0000,0.0000,0.6667,0.6667,0.6667,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1155__2019__2157592,0.6035,0.8963,0.6914,18,33,15.00,12,10,10,1.2000,13920,0,0,3898,0.033410,,,,1.00,0,97,0.0000,0.5759,0.8426,0.6842,0.4545,0.8333,0.5882,0.2143,1.0000,0.3529,0.6667,1.0000,0.8000,1.0000,0.8333,0.9091
claude-haiku-4-5,doi_10_3390__coatings9010016,0.6433,0.5706,0.5942,43,35,10.00,3,3,3,3.0000,63894,0,0,9919,0.113489,,,,3.00,0,83,0.0000,0.4466,0.4340,0.4402,0.2857,0.2326,0.2564,1.0000,0.5000,0.6667,0.6000,0.6429,0.6207,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__e16020870,0.8531,0.9351,0.8915,47,54,44.20,6,7,6,0.0000,18033,0,0,3916,0.037613,,,,1.00,0,159,0.0000,0.7952,0.8702,0.8310,0.8185,0.9404,0.8752,0.8462,1.0000,0.9167,1.0000,1.0000,1.0000,0.8571,1.0000,0.9231
claude-haiku-4-5,doi_10_3390__e18050189,0.9503,0.9002,0.9238,10,10,7.82,1,1,1,0.0000,21390,0,0,846,0.025620,,,,1.00,0,26,0.0000,0.9005,0.8005,0.8475,0.7817,0.7817,0.7817,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__e21010015,0.8267,0.9207,0.8629,68,80,60.00,6,6,6,2.0000,21943,0,0,5674,0.050313,,,,1.00,0,206,0.0000,0.8135,0.8686,0.8402,0.7500,0.8824,0.8108,1.0000,0.9091,0.9524,0.6000,1.0000,0.7500,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__e21020114,0.6846,0.7060,0.6931,98,99,46.90,7,7,7,0.0000,49751,0,0,10354,0.101521,,,,2.00,0,198,0.0000,0.5114,0.4977,0.5044,0.4737,0.4786,0.4761,0.5263,0.7143,0.6061,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__e21020122,0.6224,0.6854,0.6515,31,29,22.00,8,8,8,1.0000,29563,0,0,4402,0.051573,,,,2.00,0,77,0.0000,0.7048,0.7708,0.7363,0.7586,0.7097,0.7333,0.0000,0.0000,0.0000,0.6000,0.7500,0.6667,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__e21020169,0.6906,0.7319,0.7098,63,71,31.33,7,7,7,2.4286,81308,0,0,21454,0.188578,,,,3.00,0,243,0.0000,0.5780,0.6606,0.6165,0.4413,0.4974,0.4677,0.5556,0.5556,0.5556,0.8413,0.8413,0.8413,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__e21030288,0.3870,0.3959,0.3900,43,44,6.50,5,6,5,0.4000,259240,0,0,30089,0.409685,,,,7.00,0,112,0.0000,0.1526,0.1451,0.1487,0.1477,0.1512,0.1494,0.0000,0.0000,0.0000,0.9286,0.8667,0.8966,0.8333,1.0000,0.9091
claude-haiku-4-5,doi_10_3390__e21050448,0.3983,0.6311,0.4672,20,51,8.63,5,10,5,0.2000,33791,0,0,8330,0.075441,,,,2.00,0,149,0.0000,0.2466,0.5873,0.3473,0.1693,0.4317,0.2432,0.0000,0.0000,0.0000,1.0000,0.9375,0.9677,0.5000,1.0000,0.6667
claude-haiku-4-5,doi_10_3390__ma12071136,0.6083,0.5460,0.5727,53,39,18.00,5,5,5,1.0000,53613,0,0,6770,0.087463,,,,2.00,0,69,0.0000,0.5500,0.4430,0.4907,0.4615,0.3396,0.3913,0.1111,0.0526,0.0714,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__met10111466,0.7936,0.6964,0.7392,39,32,18.00,7,5,5,0.6000,64385,0,0,11470,0.121735,,,,3.00,0,72,0.0000,0.7527,0.6491,0.6970,0.5625,0.4615,0.5070,0.6154,0.6667,0.6400,0.8750,0.8235,0.8485,1.0000,0.7143,0.8333
claude-haiku-4-5,doi_10_3390__met9030351,0.6059,0.7071,0.6302,14,25,8.55,4,4,4,1.7500,97515,0,0,10468,0.149855,,,,5.00,0,65,0.0000,0.4952,0.7053,0.5819,0.3420,0.6107,0.4385,0.1667,0.5000,0.2500,0.9167,0.6471,0.7586,1.0000,1.0000,1.0000
claude-haiku-4-5,OVERALL,0.6158,0.6752,0.6435,674,825,381.18,101,102,95,1.0526,1092084,0,0,165256,1.918364,0.0,0.0,0.0,2.42,0,2032,0.0000,0.5163,0.6075,0.5582,0.4620,0.5656,0.5086,0.3665,0.3933,0.3794,0.8149,0.8568,0.8353,0.9314,0.9406,0.9360
