model_name,doi,overall_precision,overall_recall,overall_f1,num_target_items,num_extracted_items,num_matched_items,num_target_materials,num_extracted_materials,num_matched_materials,avg_process_edit_distance,input_tokens,output_tokens,cost_usd,elapsed_seconds,avg_paper_time,max_paper_time,avg_attempts,num_hallucinated,num_total_numbers,hallucination_rate,value_precision,value_recall,value_f1,measurement_precision,measurement_recall,measurement_f1,config_precision,config_recall,config_f1,process_precision,process_recall,process_f1,material_precision,material_recall,material_f1
knowmat2,doi_10_1016__j_proeng_2012_03_043,0.6664,0.7780,0.7056,12,26,7.60,4,9,4,1.0000,0,0,0.000000,,,,1.00,0,37,0.0000,0.6328,0.6893,0.6598,0.2923,0.6333,0.4000,1.0000,1.0000,1.0000,0.6667,0.6667,0.6667,0.4444,1.0000,0.6154
knowmat2,doi_10_1038__ncomms10602,0.5151,0.5721,0.5305,19,23,3.67,1,2,1,2.0000,0,0,0.000000,,,,1.00,0,32,0.0000,0.2946,0.2585,0.2754,0.1594,0.1930,0.1746,1.0000,1.0000,1.0000,0.7143,0.7143,0.7143,0.5000,1.0000,0.6667
knowmat2,doi_10_1038__s41467_019_08460_2,0.5083,0.1476,0.1894,18,1,1.00,5,1,1,4.0000,0,0,0.000000,,,,1.00,0,6,0.0000,0.5833,0.0753,0.1333,1.0000,0.0556,0.1053,0.0000,0.0000,0.0000,0.3333,0.4000,0.3636,1.0000,0.2000,0.3333
knowmat2,doi_10_1038__s41598_017_16509_9,0.5822,0.5395,0.5597,16,19,2.90,3,3,3,2.0000,0,0,0.000000,,,,1.00,0,37,0.0000,0.5407,0.4833,0.5104,0.1526,0.1812,0.1657,0.0000,0.0000,0.0000,0.8095,0.7391,0.7727,1.0000,1.0000,1.0000
knowmat2,doi_10_1155__2019__2157592,0.3750,0.2631,0.2619,18,8,0.00,12,3,3,2.0000,0,0,0.000000,,,,1.00,0,21,0.0000,0.2500,0.1084,0.1513,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.8571,0.6316,1.0000,0.2500,0.4000
knowmat2,doi_10_3390__coatings9010016,0.3833,0.0885,0.1412,43,5,0.00,3,1,1,5.0000,0,0,0.000000,,,,1.00,0,12,0.0000,0.0667,0.0104,0.0180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.1667,0.2857,1.0000,0.3333,0.5000
knowmat2,doi_10_3390__e16020870,0.7015,0.6254,0.6481,47,42,34.20,6,6,6,1.0000,0,0,0.000000,,,,1.00,0,89,0.0000,0.8031,0.5508,0.6534,0.8143,0.7277,0.7685,0.0000,0.0000,0.0000,0.7500,1.0000,0.8571,1.0000,1.0000,1.0000
knowmat2,doi_10_3390__e18050189,0.2786,0.5444,0.3232,10,51,3.00,1,10,1,0.0000,0,0,0.000000,,,,1.00,0,100,0.0000,0.1273,0.3889,0.1918,0.0588,0.3000,0.0984,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.1000,1.0000,0.1818
knowmat2,doi_10_3390__e21010015,0.6116,0.5883,0.5994,68,100,39.50,6,6,6,0.0000,0,0,0.000000,,,,1.00,0,173,0.0000,0.5233,0.4767,0.4989,0.3950,0.5809,0.4702,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
knowmat2,doi_10_3390__e21020114,0.6972,0.4537,0.5166,98,43,37.00,7,4,4,1.0000,0,0,0.000000,,,,1.00,0,78,0.0000,0.7944,0.3360,0.4722,0.8605,0.3776,0.5248,0.0000,0.0000,0.0000,0.7500,1.0000,0.8571,1.0000,0.5714,0.7273
knowmat2,doi_10_3390__e21020122,0.5414,0.3314,0.3502,31,14,5.00,8,1,1,1.0000,0,0,0.000000,,,,1.00,0,24,0.0000,0.5161,0.2254,0.3137,0.3571,0.1613,0.2222,0.0000,0.0000,0.0000,0.6667,1.0000,0.8000,1.0000,0.1250,0.2222
knowmat2,doi_10_3390__e21030288,0.4736,0.4694,0.4715,43,35,5.00,5,5,5,0.2000,0,0,0.000000,,,,1.00,0,111,0.0000,0.2739,0.2654,0.2696,0.1429,0.1163,0.1282,0.0000,0.0000,0.0000,0.9333,0.9333,0.9333,1.0000,1.0000,1.0000
knowmat2,doi_10_3390__ma12071136,0.6428,0.3856,0.4686,53,24,16.00,5,5,5,4.0000,0,0,0.000000,,,,1.00,0,38,0.0000,0.6761,0.3221,0.4364,0.6667,0.3019,0.4156,0.1429,0.0526,0.0769,0.6667,0.3333,0.4444,1.0000,1.0000,1.0000
knowmat2,doi_10_3390__met10111466,0.4056,0.0940,0.1481,39,2,0.00,7,1,1,2.0000,0,0,0.000000,,,,1.00,0,8,0.0000,0.1111,0.0118,0.0213,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.3333,0.5000,1.0000,0.1429,0.2500
knowmat2,OVERALL,0.5312,0.4007,0.4523,515,393,154.87,73,57,42,1.4524,0,0,0.000000,0.0,0.0,0.0,1.00,0,766,0.0000,0.4966,0.3228,0.3913,0.3941,0.3007,0.3411,0.1364,0.0513,0.0745,0.7597,0.7267,0.7429,0.7368,0.5753,0.6462
