model_name,doi,overall_precision,overall_recall,overall_f1,num_target_items,num_extracted_items,num_matched_items,num_target_materials,num_extracted_materials,num_matched_materials,avg_process_edit_distance,input_tokens,output_tokens,cost_usd,elapsed_seconds,avg_paper_time,max_paper_time,avg_attempts,num_hallucinated,num_total_numbers,hallucination_rate,value_precision,value_recall,value_f1,measurement_precision,measurement_recall,measurement_f1,config_precision,config_recall,config_f1,process_precision,process_recall,process_f1,material_precision,material_recall,material_f1
claude-haiku-4-5,doi_10_1016__j_proeng_2012_03_043,0.9702,0.9702,0.9702,12,12,10.67,4,4,4,0.0000,12757,1167,0.018592,,,,1.00,0,35,0.0000,0.9405,0.9405,0.9405,0.8889,0.8889,0.8889,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1038__ncomms10602,0.9298,1.0000,0.9623,19,21,19.00,1,1,1,0.0000,21433,1767,0.030268,,,,1.00,0,47,0.0000,0.8596,1.0000,0.9245,0.9048,1.0000,0.9500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1038__s41467_019_08460_2,0.7213,0.7014,0.6980,18,26,13.00,5,3,3,2.0000,20399,2805,0.034424,,,,1.00,0,52,0.0000,0.6568,0.6628,0.6598,0.5000,0.7222,0.5909,0.6667,0.5333,0.5926,0.7143,1.0000,0.8333,1.0000,0.6000,0.7500
claude-haiku-4-5,doi_10_1038__s41467_019_10533_1,0.7514,0.9380,0.8271,18,25,18.00,7,7,7,0.0000,46588,4504,0.069108,,,,2.00,0,87,0.0000,0.6694,0.9759,0.7941,0.7200,1.0000,0.8372,0.4444,0.6667,0.5333,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1038__s41598_017_16509_9,0.7984,0.8670,0.8295,16,21,12.50,3,3,3,0.0000,16722,1946,0.026452,,,,1.00,0,42,0.0000,0.6469,0.7841,0.7089,0.5952,0.7812,0.6757,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1038__s41598_019_43329_w,0.5655,0.6009,0.5813,44,35,29.17,5,5,5,0.0000,28878,4353,0.050643,,,,1.00,0,95,0.0000,0.3310,0.4050,0.3643,0.8333,0.6629,0.7384,0.3333,0.3226,0.3279,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1155__2019__2157592,0.9722,0.8673,0.9145,18,15,14.00,12,9,9,0.0000,14999,1507,0.022534,,,,1.00,0,69,0.0000,0.9444,0.8095,0.8718,0.9333,0.7778,0.8485,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7500,0.8571
claude-haiku-4-5,doi_10_3390__coatings9010016,0.5106,0.4955,0.4795,43,25,8.00,3,6,3,1.3333,206937,20683,0.310352,,,,7.00,0,88,0.0000,0.3211,0.3302,0.3256,0.3200,0.1860,0.2353,0.5000,0.2500,0.3333,1.0000,0.7143,0.8333,0.5000,1.0000,0.6667
claude-haiku-4-5,doi_10_3390__e16020870,0.5790,0.5921,0.5854,47,47,28.00,6,6,6,0.0000,20433,3816,0.039513,,,,1.00,0,156,0.0000,0.4579,0.4843,0.4707,0.5957,0.5957,0.5957,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__e18050189,0.8125,0.7778,0.7941,10,9,6.00,1,1,1,0.0000,22187,927,0.026822,,,,1.00,0,26,0.0000,0.6250,0.5556,0.5882,0.6667,0.6000,0.6316,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__e21010015,0.9084,0.9084,0.9084,68,68,56.50,6,6,6,0.0000,25128,4709,0.048673,,,,1.00,0,202,0.0000,0.8167,0.8167,0.8167,0.8309,0.8309,0.8309,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__e21020114,0.8767,0.9344,0.9025,98,98,82.50,7,7,7,0.0000,57274,10838,0.111464,,,,2.00,0,227,0.0000,0.8482,0.8903,0.8687,0.8418,0.8418,0.8418,0.6842,0.9286,0.7879,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__e21020122,0.6207,0.5726,0.5844,31,20,15.00,8,5,5,1.0000,31633,3118,0.047223,,,,2.00,0,55,0.0000,0.6842,0.5977,0.6380,0.7500,0.4839,0.5882,0.0000,0.0000,0.0000,0.6429,0.9000,0.7500,1.0000,0.6250,0.7692
claude-haiku-4-5,doi_10_3390__e21020169,0.6320,0.7885,0.6937,63,114,44.00,7,7,7,0.8571,58290,23815,0.177365,,,,2.00,0,407,0.0000,0.4289,0.6960,0.5307,0.3860,0.6984,0.4972,0.5714,0.6667,0.6154,0.9091,0.9524,0.9302,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__e21030288,0.5262,0.5512,0.5372,43,54,11.00,5,5,5,0.0000,25752,4189,0.046697,,,,1.00,0,134,0.0000,0.2832,0.3025,0.2925,0.2037,0.2558,0.2268,0.2308,0.3333,0.2727,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__e21050448,0.6999,0.8286,0.7522,20,20,12.25,5,5,5,0.4000,77662,8959,0.122457,,,,4.00,0,58,0.0000,0.6801,0.8322,0.7485,0.6125,0.6125,0.6125,0.2222,0.5000,0.3077,0.8824,0.9375,0.9091,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__ma12071136,0.9581,0.9507,0.9543,53,53,49.00,5,5,5,0.0000,94381,12323,0.155996,,,,3.00,0,112,0.0000,0.9329,0.9329,0.9329,0.9245,0.9245,0.9245,0.9444,0.8947,0.9189,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
